contribution_id,candidate,party,office,amount,date,contributor_type,state,employer,occupation
88,Miller (D),Democrat,House,100,2024-01-02,PAC,MS,Education,Consultant
89,Smith (D),Democrat,House,50,2024-01-06,Individual,CO,Retired,Retired
90,Jones (R),Republican,House,25,2024-04-23,PAC,NM,Retail Co,Sales
91,Brown (D),Democrat,Senate,2505.8886039790214,2024-03-26,Individual,NV,Education,Consultant
92,Brown (D),Democrat,Governor,4993.642641333353,2024-12-13,Individual,AR,Not Employed,Engineer
93,Jones (R),Republican,Senate,25,2024-12-02,Individual,ND,Self-employed,Healthcare
94,Davis (R),Republican,Senate,2800,2024-02-24,PAC,WI,Self-employed,Consultant
95,Taylor (R),Republican,Senate,50,2024-12-12,PAC,TN,Retail Co,Engineer
96,Jones (R),Republican,House,100,2024-07-17,Individual,NH,Healthcare Inc,Business Owner
97,Jones (R),Republican,House,250,2024-07-26,Individual,OH,Self-employed,Teacher
98,Taylor (R),Republican,Senate,5757.834128027527,2024-03-26,Individual,MS,Education,Sales
99,Brown (D),Democrat,Governor,2800,2024-12-08,Union PAC,KY,Not Employed,Healthcare
100,Smith (D),Democrat,Governor,50,2024-01-13,Individual,NM,Tech Corp,Sales
101,Smith (D),Democrat,House,1000,2024-02-06,Individual,KS,Retired,Teacher
102,Miller (D),Democrat,Senate,1065.2432199734521,2024-12-14,Individual,ND,Not Employed,Retired
103,Davis (R),Republican,Governor,25,2024-06-29,Individual,CO,Self-employed,Sales
104,Wilson (I),Independent,House,250,2024-10-10,Individual,KS,Education,Retired
105,Jones (R),Republican,House,10506.938986720927,2024-10-07,PAC,AL,Retail Co,Teacher
106,Brown (D),Democrat,House,50,2024-04-07,Union PAC,HI,Retail Co,Healthcare
107,Smith (D),Democrat,House,250,2024-01-11,Individual,MT,Self-employed,Engineer
108,Davis (R),Republican,House,50,2024-03-10,Individual,AK,Healthcare Inc,Sales
109,Smith (D),Democrat,House,930.7514518131638,2024-11-29,Individual,WI,Tech Corp,Business Owner
110,Miller (D),Democrat,House,500,2024-07-11,Individual,NE,Retail Co,Retired
111,Miller (D),Democrat,Senate,25,2024-08-03,PAC,NC,Finance LLC,Business Owner
112,Brown (D),Democrat,House,100,2024-04-05,Individual,IN,Education,Teacher
113,Taylor (R),Republican,House,100,2024-05-05,Individual,NJ,Not Employed,Retired
114,Miller (D),Democrat,Senate,2800,2024-05-09,Individual,UT,Retail Co,Healthcare
115,Jones (R),Republican,Senate,1192.5948680653519,2024-05-26,Individual,SC,Retail Co,Retired
116,Miller (D),Democrat,Governor,25,2024-12-14,Individual,WA,Healthcare Inc,Healthcare
117,Taylor (R),Republican,House,100,2024-09-22,Individual,AL,Finance LLC,Consultant
118,Jones (R),Republican,House,2800,2024-07-07,Individual,NC,Self-employed,Engineer
119,Smith (D),Democrat,House,250,2024-12-29,Individual,OR,Tech Corp,Attorney
120,Wilson (I),Independent,House,25,2024-08-13,Individual,RI,Retired,Teacher
121,Smith (D),Democrat,Governor,250,2024-09-10,Individual,DE,Healthcare Inc,Business Owner
122,Davis (R),Republican,House,50,2024-01-18,Corporate PAC,OR,Retired,Healthcare
123,Davis (R),Republican,House,4007.0662354113288,2024-06-21,Individual,NJ,Education,Sales
124,Jones (R),Republican,House,500,2024-05-21,Super PAC,IN,Finance LLC,Engineer
125,Miller (D),Democrat,Governor,100,2024-11-29,PAC,AK,Education,Business Owner
126,Miller (D),Democrat,Senate,250,2024-03-09,Individual,UT,Healthcare Inc,Retired
127,Taylor (R),Republican,House,100,2024-09-03,Union PAC,MN,Self-employed,Retired
128,Taylor (R),Republican,Governor,1000,2024-09-15,Individual,NC,Healthcare Inc,Sales
129,Smith (D),Democrat,Governor,250,2024-06-28,Individual,SC,Retail Co,Teacher
130,Smith (D),Democrat,House,500,2024-09-13,Individual,MO,Retail Co,Engineer
131,Taylor (R),Republican,Senate,250,2024-09-11,PAC,MS,Self-employed,Attorney
132,Miller (D),Democrat,Governor,100,2024-07-08,Individual,MN,Education,Sales
133,Taylor (R),Republican,House,25,2024-02-13,Individual,MT,Education,Sales
134,Smith (D),Democrat,House,250,2024-02-14,Corporate PAC,MD,Self-employed,Healthcare
135,Davis (R),Republican,Governor,25,2024-06-28,Individual,IL,Not Employed,Retired
136,Smith (D),Democrat,Governor,100,2024-08-28,Individual,IN,Healthcare Inc,Healthcare
137,Jones (R),Republican,House,100,2024-04-17,Individual,CT,Healthcare Inc,Consultant
138,Jones (R),Republican,Governor,100,2024-06-09,Individual,KS,Self-employed,Retired
139,Brown (D),Democrat,Governor,25,2024-06-05,Individual,MS,Education,Consultant
140,Taylor (R),Republican,Senate,7166.319014467665,2024-04-06,Corporate PAC,ND,Not Employed,Sales
141,Miller (D),Democrat,House,100,2024-10-09,PAC,OK,Retail Co,Business Owner
142,Brown (D),Democrat,House,100,2024-12-25,Individual,KY,Tech Corp,Business Owner
143,Miller (D),Democrat,House,250,2024-07-25,Super PAC,NM,Retired,Consultant
144,Smith (D),Democrat,House,50,2024-12-26,Individual,VA,Finance LLC,Attorney
145,Davis (R),Republican,House,25,2024-10-02,Individual,MI,Tech Corp,Consultant
146,Taylor (R),Republican,House,250,2024-02-11,Individual,PA,Self-employed,Retired
147,Wilson (I),Independent,Senate,9508.309513152753,2024-11-15,Union PAC,NH,Self-employed,Engineer
148,Smith (D),Democrat,House,50,2024-10-03,Individual,IN,Not Employed,Consultant
149,Brown (D),Democrat,House,25,2024-04-25,Individual,CT,Finance LLC,Attorney
150,Brown (D),Democrat,House,250,2024-08-11,Individual,AR,Tech Corp,Attorney
151,Miller (D),Democrat,Senate,50,2024-06-10,Individual,SD,Not Employed,Retired
152,Smith (D),Democrat,House,100,2024-02-28,PAC,HI,Retail Co,Engineer
153,Miller (D),Democrat,Senate,7413.4025706091215,2024-06-05,PAC,IA,Tech Corp,Healthcare
154,Smith (D),Democrat,Governor,19698.996623629922,2024-04-30,Union PAC,SC,Not Employed,Teacher
155,Miller (D),Democrat,House,500,2024-12-03,Super PAC,TN,Finance LLC,Engineer
156,Wilson (I),Independent,Senate,25,2024-05-24,Individual,LA,Finance LLC,Teacher
157,Taylor (R),Republican,House,22958.110136737207,2024-02-22,Individual,LA,Education,Business Owner
158,Wilson (I),Independent,Senate,1000,2024-08-30,PAC,MO,Not Employed,Retired
159,Brown (D),Democrat,House,50,2024-05-19,Union PAC,FL,Education,Business Owner
160,Taylor (R),Republican,House,250,2024-10-06,Individual,NJ,Finance LLC,Engineer
161,Davis (R),Republican,Senate,2800,2024-04-10,Individual,FL,Education,Business Owner
162,Jones (R),Republican,Senate,100,2024-04-12,Individual,KY,Self-employed,Sales
163,Smith (D),Democrat,House,50,2024-04-16,Individual,AZ,Finance LLC,Engineer
164,Wilson (I),Independent,House,100,2024-06-06,Union PAC,NM,Finance LLC,Business Owner
165,Jones (R),Republican,House,250,2024-05-21,PAC,WY,Education,Consultant
166,Davis (R),Republican,Senate,50,2024-06-15,Individual,AK,Retired,Consultant
167,Smith (D),Democrat,Governor,20118.922292271953,2024-02-21,Individual,VT,Retail Co,Business Owner
168,Davis (R),Republican,House,100,2024-10-15,PAC,GA,Healthcare Inc,Retired
169,Smith (D),Democrat,House,100,2024-03-03,Individual,WV,Self-employed,Healthcare
170,Davis (R),Republican,House,16091.232182941367,2024-03-25,PAC,CA,Retail Co,Retired
171,Wilson (I),Independent,Senate,100,2024-05-21,Corporate PAC,VT,Education,Consultant
172,Taylor (R),Republican,Governor,25,2024-03-09,Individual,SD,Healthcare Inc,Consultant
173,Miller (D),Democrat,House,50,2024-03-27,Individual,NE,Education,Teacher
174,Wilson (I),Independent,House,100,2024-04-19,Super PAC,MO,Finance LLC,Retired
175,Wilson (I),Independent,Senate,25,2024-04-29,Individual,NY,Tech Corp,Sales
176,Jones (R),Republican,House,15153.086553533678,2024-03-29,PAC,MD,Tech Corp,Healthcare
177,Smith (D),Democrat,House,500,2024-09-10,Individual,OH,Not Employed,Business Owner
178,Jones (R),Republican,House,250,2024-11-08,Individual,WI,Not Employed,Business Owner
179,Jones (R),Republican,Governor,250,2024-12-03,Individual,FL,Finance LLC,Teacher
180,Davis (R),Republican,House,500,2024-10-16,Individual,FL,Healthcare Inc,Sales
181,Wilson (I),Independent,Senate,15624.168646623904,2024-07-14,Individual,SD,Self-employed,Consultant
182,Taylor (R),Republican,Governor,7300.594850894146,2024-07-09,Individual,OK,Finance LLC,Engineer
183,Smith (D),Democrat,Senate,100,2024-04-10,Corporate PAC,MT,Self-employed,Business Owner
184,Davis (R),Republican,Senate,3601.5025109110384,2024-10-11,Individual,MI,Retired,Consultant
185,Taylor (R),Republican,Senate,8705.883532613112,2024-10-27,Individual,NE,Self-employed,Engineer
186,Miller (D),Democrat,House,25,2024-12-17,Individual,NC,Healthcare Inc,Business Owner
187,Wilson (I),Independent,House,25,2024-07-12,Individual,TN,Retail Co,Consultant
188,Jones (R),Republican,House,500,2024-06-25,Individual,KS,Healthcare Inc,Retired
189,Brown (D),Democrat,Senate,100,2024-04-30,Individual,AR,Healthcare Inc,Consultant
190,Davis (R),Republican,Senate,2364.3414665551604,2024-01-18,PAC,NM,Retired,Consultant
191,Brown (D),Democrat,Senate,3183.833060533312,2024-05-18,PAC,ME,Retired,Sales
192,Taylor (R),Republican,House,250,2024-04-04,Individual,NJ,Finance LLC,Teacher
193,Brown (D),Democrat,House,1376.4214212028287,2024-05-10,Individual,NC,Not Employed,Attorney
194,Wilson (I),Independent,Senate,500,2024-09-12,PAC,AL,Retired,Retired
195,Jones (R),Republican,House,500,2024-08-18,Union PAC,CA,Not Employed,Retired
196,Miller (D),Democrat,Governor,500,2024-12-07,Individual,GA,Education,Retired
197,Taylor (R),Republican,Senate,7535.185511427942,2024-01-04,Individual,IL,Self-employed,Retired
198,Miller (D),Democrat,House,1000,2024-11-05,Individual,WY,Healthcare Inc,Consultant
199,Davis (R),Republican,House,100,2024-09-09,Individual,WA,Retail Co,Retired
200,Miller (D),Democrat,House,3719.953923028853,2024-02-20,Individual,MT,Healthcare Inc,Sales
201,Brown (D),Democrat,House,50,2024-09-13,Corporate PAC,TN,Retired,Engineer
202,Smith (D),Democrat,Senate,50,2024-10-20,Super PAC,OR,Not Employed,Sales
203,Davis (R),Republican,House,100,2024-03-14,Individual,MO,Retired,Business Owner
204,Brown (D),Democrat,House,6215.838437285578,2024-08-18,PAC,FL,Not Employed,Business Owner
205,Taylor (R),Republican,Senate,50,2024-03-22,Individual,WV,Self-employed,Retired
206,Taylor (R),Republican,Governor,11408.566827742328,2024-08-25,Individual,WA,Finance LLC,Healthcare
207,Wilson (I),Independent,House,500,2024-12-05,Corporate PAC,MO,Not Employed,Sales
208,Jones (R),Republican,Senate,250,2024-11-07,Individual,WI,Finance LLC,Healthcare
209,Taylor (R),Republican,Senate,2770.74879198355,2024-05-20,Individual,ID,Education,Engineer
210,Wilson (I),Independent,House,50,2024-06-25,PAC,OH,Not Employed,Healthcare
211,Miller (D),Democrat,House,19125.57411225489,2024-02-04,Super PAC,CO,Tech Corp,Business Owner
212,Smith (D),Democrat,House,13854.02820374654,2024-12-02,Individual,TN,Not Employed,Attorney
213,Wilson (I),Independent,Senate,500,2024-08-10,Individual,CA,Finance LLC,Retired
214,Wilson (I),Independent,House,2800,2024-02-07,Individual,ME,Retired,Engineer
215,Wilson (I),Independent,Senate,2342.7300175345904,2024-06-01,PAC,IA,Retail Co,Consultant
216,Taylor (R),Republican,House,500,2024-09-03,Individual,IA,Retired,Retired
217,Taylor (R),Republican,Governor,25,2024-04-12,Individual,MA,Not Employed,Engineer
218,Wilson (I),Independent,House,100,2024-12-17,PAC,KS,Healthcare Inc,Business Owner
219,Jones (R),Republican,Senate,500,2024-04-08,Individual,VA,Tech Corp,Engineer
220,Brown (D),Democrat,House,50,2024-02-06,Individual,NH,Finance LLC,Attorney
221,Davis (R),Republican,House,250,2024-08-07,Corporate PAC,DE,Healthcare Inc,Sales
222,Brown (D),Democrat,Governor,100,2024-11-11,Union PAC,ND,Education,Healthcare
223,Brown (D),Democrat,Governor,4836.067457250992,2024-02-14,Union PAC,MA,Retired,Sales
224,Taylor (R),Republican,Senate,250,2024-12-12,PAC,AL,Education,Business Owner
225,Smith (D),Democrat,Senate,4819.0814258845285,2024-06-27,Individual,AL,Retail Co,Teacher
226,Brown (D),Democrat,Governor,500,2024-11-27,Individual,WI,Healthcare Inc,Engineer
227,Smith (D),Democrat,Senate,100,2024-01-28,PAC,NJ,Education,Engineer
228,Brown (D),Democrat,House,25,2024-12-17,Super PAC,NC,Retail Co,Sales
229,Davis (R),Republican,Governor,17976.036418915635,2024-04-22,Individual,SC,Retail Co,Healthcare
230,Smith (D),Democrat,House,2800,2024-07-19,Individual,NY,Retired,Retired
231,Miller (D),Democrat,House,500,2024-12-01,Corporate PAC,IA,Self-employed,Teacher
232,Brown (D),Democrat,Senate,1357.2285508086277,2024-05-04,Individual,MT,Retail Co,Business Owner
233,Smith (D),Democrat,Governor,250,2024-04-21,PAC,MS,Tech Corp,Attorney
234,Wilson (I),Independent,Senate,500,2024-03-31,PAC,AR,Education,Retired
235,Smith (D),Democrat,House,2578.7449328200105,2024-08-04,Individual,AZ,Self-employed,Retired
236,Davis (R),Republican,Senate,26504.78062083744,2024-07-22,Individual,MN,Education,Engineer
237,Taylor (R),Republican,House,2800,2024-01-12,Individual,AZ,Tech Corp,Attorney
238,Taylor (R),Republican,Senate,250,2024-02-15,Union PAC,MI,Education,Retired
239,Wilson (I),Independent,Governor,12985.898082213183,2024-04-26,Individual,PA,Retired,Teacher
240,Wilson (I),Independent,House,50,2024-03-21,Individual,CA,Not Employed,Retired
241,Miller (D),Democrat,House,1000,2024-08-05,Super PAC,GA,Healthcare Inc,Teacher
242,Brown (D),Democrat,House,500,2024-01-25,PAC,MO,Retail Co,Consultant
243,Brown (D),Democrat,House,250,2024-06-25,Individual,SD,Not Employed,Sales
244,Jones (R),Republican,Senate,25,2024-06-20,PAC,VT,Finance LLC,Attorney
245,Smith (D),Democrat,Senate,2800,2024-02-14,Individual,GA,Tech Corp,Healthcare
246,Davis (R),Republican,House,250,2024-03-02,Individual,SD,Tech Corp,Consultant
247,Miller (D),Democrat,Senate,5913.366682307926,2024-08-29,Individual,RI,Healthcare Inc,Teacher
248,Jones (R),Republican,Senate,50,2024-06-23,Individual,MI,Self-employed,Sales
249,Wilson (I),Independent,House,8768.884291914816,2024-10-31,Individual,RI,Retail Co,Attorney
250,Davis (R),Republican,House,50,2024-12-11,Corporate PAC,HI,Not Employed,Retired
251,Brown (D),Democrat,Governor,250,2024-01-20,Super PAC,VA,Tech Corp,Healthcare
252,Smith (D),Democrat,House,25,2024-11-02,Corporate PAC,NY,Tech Corp,Business Owner
253,Wilson (I),Independent,Senate,250,2024-02-19,PAC,AR,Healthcare Inc,Business Owner
254,Wilson (I),Independent,Senate,25,2024-03-10,PAC,MN,Tech Corp,Healthcare
255,Davis (R),Republican,House,250,2024-03-08,Corporate PAC,MO,Not Employed,Attorney
256,Taylor (R),Republican,House,500,2024-03-07,Individual,SD,Retired,Engineer
257,Wilson (I),Independent,Governor,25,2024-04-20,Super PAC,KS,Self-employed,Sales
258,Brown (D),Democrat,Senate,25,2024-03-21,Individual,RI,Education,Healthcare
259,Smith (D),Democrat,Governor,4053.234650373501,2024-12-14,Individual,NJ,Retired,Teacher
260,Smith (D),Democrat,Governor,100,2024-09-03,PAC,NY,Healthcare Inc,Business Owner
261,Jones (R),Republican,House,100,2024-01-28,Individual,PA,Retail Co,Consultant
262,Jones (R),Republican,Governor,1000,2024-08-08,Individual,AL,Retired,Sales
263,Wilson (I),Independent,House,250,2024-03-23,PAC,OR,Finance LLC,Retired
264,Wilson (I),Independent,House,7658.350891443642,2024-06-16,Individual,FL,Tech Corp,Teacher
265,Davis (R),Republican,House,100,2024-07-19,Individual,MD,Retail Co,Healthcare
266,Smith (D),Democrat,House,50,2024-04-04,Individual,GA,Not Employed,Engineer
267,Wilson (I),Independent,House,1000,2024-10-16,PAC,HI,Self-employed,Engineer
268,Davis (R),Republican,House,250,2024-07-25,Individual,VA,Finance LLC,Sales
269,Wilson (I),Independent,Senate,25,2024-06-12,Individual,MD,Retail Co,Engineer
270,Wilson (I),Independent,House,25,2024-10-05,PAC,GA,Tech Corp,Business Owner
271,Brown (D),Democrat,House,25,2024-12-30,Individual,TX,Education,Sales
272,Brown (D),Democrat,Senate,25,2024-07-09,PAC,NE,Healthcare Inc,Business Owner
273,Davis (R),Republican,House,8564.501133248394,2024-07-16,Union PAC,TN,Education,Healthcare
274,Jones (R),Republican,Senate,250,2024-10-27,Individual,IL,Retail Co,Sales
275,Taylor (R),Republican,House,1000,2024-11-10,PAC,AZ,Retired,Business Owner
276,Davis (R),Republican,House,250,2024-12-04,Individual,HI,Self-employed,Retired
277,Miller (D),Democrat,Governor,250,2024-03-09,Individual,GA,Not Employed,Sales
278,Miller (D),Democrat,House,100,2024-05-10,Individual,TX,Tech Corp,Engineer
279,Brown (D),Democrat,Senate,2800,2024-11-30,Individual,ME,Finance LLC,Sales
280,Jones (R),Republican,Senate,25,2024-05-06,Individual,NE,Healthcare Inc,Attorney
281,Wilson (I),Independent,Governor,1000,2024-06-11,Individual,NV,Self-employed,Teacher
282,Brown (D),Democrat,House,14129.28808666669,2024-10-11,Union PAC,ME,Not Employed,Healthcare
283,Smith (D),Democrat,House,1448.048630694454,2024-03-02,PAC,MN,Finance LLC,Consultant
284,Brown (D),Democrat,House,100,2024-10-19,Individual,KY,Not Employed,Sales
285,Wilson (I),Independent,House,6777.532961399389,2024-12-30,Individual,SC,Self-employed,Consultant
286,Smith (D),Democrat,House,500,2024-09-22,PAC,OR,Education,Business Owner
287,Smith (D),Democrat,Senate,100,2024-05-17,Individual,WA,Education,Teacher
288,Davis (R),Republican,House,100,2024-03-13,Union PAC,DE,Finance LLC,Engineer
289,Smith (D),Democrat,Senate,250,2024-12-12,Super PAC,NH,Finance LLC,Healthcare
290,Taylor (R),Republican,House,250,2024-12-29,Individual,IN,Not Employed,Attorney
291,Davis (R),Republican,Governor,25,2024-01-24,Individual,MO,Education,Consultant
292,Davis (R),Republican,House,100,2024-09-24,Corporate PAC,NY,Retired,Business Owner
293,Brown (D),Democrat,Governor,2800,2024-05-19,Individual,FL,Finance LLC,Consultant
294,Smith (D),Democrat,House,64269.8406221396,2024-10-31,Super PAC,OK,Finance LLC,Healthcare
295,Smith (D),Democrat,Senate,1000,2024-12-06,PAC,NE,Not Employed,Engineer
296,Taylor (R),Republican,House,7083.188433057274,2024-09-10,Union PAC,IA,Healthcare Inc,Business Owner
297,Smith (D),Democrat,Senate,250,2024-12-25,Individual,OK,Finance LLC,Healthcare
298,Brown (D),Democrat,House,5365.439717028938,2024-03-27,PAC,MT,Education,Sales
299,Jones (R),Republican,Senate,4451.959517705153,2024-11-13,Corporate PAC,AZ,Self-employed,Retired
300,Davis (R),Republican,Senate,1586.9943480291,2024-12-10,Individual,MT,Tech Corp,Sales
301,Davis (R),Republican,House,50,2024-07-10,Individual,WV,Retired,Teacher
302,Davis (R),Republican,House,14376.660111945397,2024-09-16,Individual,NJ,Retired,Consultant
303,Jones (R),Republican,Governor,100,2024-09-22,Individual,WA,Tech Corp,Consultant
304,Brown (D),Democrat,House,1884.125119621503,2024-05-14,PAC,SD,Self-employed,Consultant
305,Brown (D),Democrat,Senate,1000,2024-12-31,Individual,NY,Self-employed,Attorney
306,Davis (R),Republican,House,1000,2024-08-16,Individual,MT,Tech Corp,Teacher
307,Miller (D),Democrat,Governor,10358.104942270626,2024-03-17,PAC,SD,Self-employed,Business Owner
308,Brown (D),Democrat,House,50,2024-02-28,PAC,WI,Self-employed,Consultant
309,Taylor (R),Republican,Senate,500,2024-07-23,Corporate PAC,WV,Not Employed,Business Owner
310,Jones (R),Republican,Senate,250,2024-04-24,PAC,WY,Education,Consultant
