"","studentid","term","year","midterm"
"372",260843,"Summer",2021,56.41
"373",220847,"Fall",2013,76.09
"374",273077,"Winter",2018,61.93
"375",293888,"Spring",2016,84.48
"376",235717,"Summer",2014,94.62
"377",294216,"Fall",2020,93.45
"378",291878,"Winter",2021,81.5
"379",256711,"Spring",2016,72.84
"380",249049,"Summer",2020,75.54
"381",258460,"Fall",2022,79.81
"382",227795,"Winter",2016,68.67
"383",202488,"Spring",2021,80.87
"384",248091,"Summer",2019,72.42
"385",239170,"Fall",2017,92.82
"386",205637,"Winter",2022,76.63
"387",206590,"Spring",2013,76.16
"388",204651,"Summer",2022,86.85
"389",260193,"Fall",2021,92.71
"390",264209,"Winter",2018,78.46
"391",270336,"Spring",2013,89.08
"392",231246,"Summer",2018,79.38
"393",248515,"Fall",2013,88.87
"394",208746,"Winter",2016,72.81
"395",270883,"Spring",2014,69.21
"396",254446,"Summer",2016,76.13
"397",235730,"Fall",2022,90.79
"398",248997,"Winter",2016,66.25
"399",212588,"Spring",2019,63.43
"400",209859,"Summer",2019,68.84
"401",221854,"Fall",2014,82.42
"402",263577,"Winter",2016,78.47
"403",221907,"Spring",2021,70.99
"404",229676,"Summer",2020,63.64
"405",232213,"Fall",2015,86.87
"406",223353,"Winter",2013,93.08
"407",288621,"Spring",2014,100.69
"408",217165,"Summer",2016,75.46
"409",279920,"Fall",2013,114.58
"410",262487,"Winter",2013,73.46
"411",245721,"Spring",2018,74.95
"412",291807,"Summer",2018,88.64
"413",294271,"Fall",2020,63.24
"414",258156,"Winter",2019,83.99
"415",282737,"Spring",2012,75.8
"416",273475,"Summer",2017,75.62
"417",287024,"Fall",2017,74.75
"418",242260,"Winter",2016,88.94
"419",250608,"Spring",2020,79.22
"420",256486,"Summer",2016,98.65
"421",239857,"Fall",2014,91.51
"422",239408,"Winter",2017,75.15
"423",250533,"Spring",2017,67.8
"424",286353,"Summer",2019,75.48
"425",292017,"Fall",2013,87.96
"426",247787,"Winter",2013,71.56
"427",288680,"Spring",2016,85.11
"428",251796,"Summer",2014,62.09
"429",277342,"Fall",2013,82.72
"430",224921,"Winter",2019,82.02
"431",289995,"Spring",2016,75.56
"432",240300,"Summer",2020,80.78
"433",265504,"Fall",2014,94.88
"434",217959,"Winter",2018,77.13
"435",290926,"Spring",2013,80.89
"436",298867,"Summer",2015,80.85
"437",256778,"Fall",2021,78.16
"438",265472,"Winter",2019,59.03
"439",264641,"Spring",2021,92.88
"440",218109,"Summer",2020,98.7
"441",221849,"Fall",2016,80.91
"442",203168,"Winter",2020,77.72
"443",259748,"Spring",2017,65.53
"444",232330,"Summer",2017,78.24
"445",271925,"Fall",2020,94.04
"446",259442,"Winter",2016,74.31
"447",279721,"Spring",2018,73.41
"448",283224,"Summer",2015,78.09
"449",273994,"Fall",2020,76.53
"450",234734,"Winter",2015,69.19
"451",261657,"Spring",2019,80.57
"452",252734,"Summer",2017,68.45
"453",248763,"Fall",2021,81.97
"454",234695,"Winter",2014,63.63
"455",266878,"Spring",2014,83.05
"456",214155,"Summer",2019,68.09
"457",203296,"Fall",2019,68.87
"458",275710,"Winter",2016,77.61
"459",256683,"Spring",2022,54.05
"460",217671,"Summer",2013,78.06
"461",208133,"Fall",2014,71.17
"462",253925,"Winter",2015,70.54
"463",211155,"Spring",2018,65.89
"464",284726,"Summer",2015,100.15
"465",236169,"Fall",2013,72.26
"466",260042,"Winter",2018,58.89
"467",291103,"Spring",2022,75.16
"468",206281,"Summer",2022,72.55
"469",238272,"Fall",2014,93.2
"470",230300,"Winter",2018,59.03
"471",295581,"Spring",2019,82
"472",259135,"Summer",2020,61.76
"473",251761,"Fall",2017,101.2
"474",277298,"Winter",2015,65.77
"475",229077,"Spring",2016,89.03
"476",200884,"Summer",2013,96.65
"477",218071,"Fall",2020,73.35
"478",281332,"Winter",2021,65.34
"479",243217,"Spring",2012,84.02
"480",231737,"Summer",2020,72.27
"481",240599,"Fall",2019,81.27
"482",262011,"Winter",2016,67.72
"483",233779,"Spring",2018,78.93
"484",275794,"Summer",2019,91.31
"485",284049,"Fall",2019,80.65
"486",222290,"Winter",2013,52.35
"487",203275,"Spring",2019,72.69
"488",222648,"Summer",2020,71.65
"489",262227,"Fall",2013,92.09
"490",241283,"Winter",2021,61.72
"491",247289,"Spring",2022,87.43
"492",227756,"Summer",2019,72.7
"493",256007,"Fall",2015,86.77
"494",205006,"Winter",2013,69.35
"495",294397,"Spring",2016,77.68
"496",263032,"Summer",2020,84.56
"497",298238,"Fall",2013,81.37
"498",252766,"Winter",2013,93.21
"499",213522,"Spring",2022,71.33
"500",244117,"Summer",2018,80.08
"501",205782,"Fall",2017,78.76
"502",290620,"Winter",2013,67.86
"503",238385,"Spring",2014,90.42
"504",223247,"Summer",2019,65.68
"505",226029,"Fall",2015,82.71
"506",216589,"Winter",2016,74.13
"507",266781,"Spring",2018,82.86
"508",259305,"Summer",2019,91.64
"509",284459,"Fall",2014,80.59
"510",250552,"Winter",2022,74.61
"511",253729,"Spring",2021,84.21
"512",229138,"Summer",2021,64.83
"513",259785,"Fall",2018,86.33
"514",293230,"Winter",2016,77.94
"515",282281,"Spring",2013,65.26
"516",283404,"Summer",2019,89.23
"517",270018,"Fall",2021,82.08
"518",274079,"Winter",2022,91.61
"519",242247,"Spring",2017,77.66
"520",220680,"Summer",2021,77.29
"521",200345,"Fall",2017,98.85
"522",213267,"Winter",2018,72.37
"523",228198,"Spring",2014,86.57
"524",280552,"Summer",2017,101.66
"525",215063,"Fall",2015,90.9
"526",278490,"Winter",2013,83.2
"527",287042,"Spring",2016,95.2
"528",258678,"Summer",2018,79.1
"529",209141,"Fall",2013,100.51
"530",248730,"Winter",2015,78.28
"531",237359,"Spring",2017,83.59
"532",261752,"Summer",2015,60.46
"533",282110,"Fall",2015,84.12
"534",228898,"Winter",2019,74.43
"535",240762,"Spring",2019,83.75
"536",227264,"Summer",2016,82.71
"537",263135,"Fall",2017,97.45
"538",257318,"Winter",2022,72.27
"539",205052,"Spring",2014,69.36
"540",210794,"Summer",2014,80.73
"541",290494,"Fall",2013,86.76
"542",218333,"Winter",2016,63.78
"543",204285,"Spring",2012,69.19
"544",268479,"Summer",2017,77.65
"545",269599,"Fall",2013,76.68
"546",200451,"Winter",2014,71.78
"547",219145,"Spring",2015,67.69
"548",236550,"Summer",2019,81.54
"549",235902,"Fall",2020,57.71
"550",234809,"Winter",2018,81.58
"551",243711,"Spring",2015,69.2
"552",290815,"Summer",2017,77.07
"553",236096,"Fall",2017,84.32
"554",239047,"Winter",2019,87.43
"555",287442,"Spring",2019,78.31
"556",206702,"Summer",2019,84.44
"557",218805,"Fall",2019,82.04
"558",231418,"Winter",2016,67.59
"559",256164,"Spring",2017,79.22
"560",298558,"Summer",2013,90.07
"561",298251,"Fall",2020,82.08
"562",213504,"Winter",2012,79.8
"563",217999,"Spring",2014,75.71
"564",246664,"Summer",2014,96.35
"565",229469,"Fall",2014,74.57
"566",293750,"Winter",2021,87.21
"567",223668,"Spring",2015,69.84
"568",273199,"Summer",2014,79.11
"569",288290,"Fall",2019,79.33
"570",248815,"Winter",2016,80.49
"571",280150,"Spring",2019,75.41
"572",204499,"Summer",2018,78.7
"573",205884,"Fall",2018,83.34
"574",209017,"Winter",2017,69.56
"575",224240,"Spring",2020,71.09
"576",274696,"Summer",2018,71.58
"577",247810,"Fall",2016,93.47
"578",248737,"Winter",2012,73.3
"579",209593,"Spring",2019,66.9
"580",210954,"Summer",2017,76.69
"581",283956,"Fall",2012,87.64
"582",275902,"Winter",2013,59.7
"583",215232,"Spring",2020,89.4
"584",243278,"Summer",2014,94.71
"585",219628,"Fall",2016,102.85
"586",243407,"Winter",2019,61.02
"587",294394,"Spring",2020,76.06
"588",251576,"Summer",2021,77.92
"589",274987,"Fall",2016,72.17
"590",250781,"Winter",2021,65.06
"591",241851,"Spring",2014,72.01
"592",228311,"Summer",2014,82.57
"593",260275,"Fall",2014,101.41
"594",289976,"Winter",2016,48.16
"595",274609,"Spring",2014,71.56
"596",290999,"Summer",2017,79.26
"597",297503,"Fall",2017,59.59
"598",245297,"Winter",2014,61.28
"599",243993,"Spring",2015,75.05
"600",254468,"Summer",2020,93.03
"601",299774,"Fall",2020,65.86
"602",265904,"Winter",2015,82.91
"603",289616,"Spring",2012,81.18
"604",210558,"Summer",2020,81.54
"605",242217,"Fall",2016,100.42
"606",248599,"Winter",2019,72.57
"607",297311,"Spring",2020,91.57
"608",239674,"Summer",2016,69.27
"609",225788,"Fall",2020,68.5
"610",263571,"Winter",2014,72.5
"611",274371,"Spring",2012,67.24
"612",293199,"Summer",2016,93.59
"613",248181,"Fall",2020,85.31
"614",241253,"Winter",2015,82.04
"615",287372,"Spring",2021,79
"616",216377,"Summer",2015,62.96
"617",220190,"Fall",2012,83.63
"618",288234,"Winter",2014,67.34
"619",202542,"Spring",2015,68.38
"620",217496,"Summer",2015,85.38
"621",277761,"Fall",2013,77.64
"622",255356,"Winter",2016,80.31
"623",296223,"Spring",2013,85.33
"624",242551,"Summer",2016,89.37
"625",225876,"Fall",2012,70.85
"626",279879,"Winter",2018,59.24
"627",236156,"Spring",2020,70.08
"628",283043,"Summer",2017,65.27
"629",201800,"Fall",2016,91.87
"630",223578,"Winter",2014,90.81
"631",257035,"Spring",2019,63.04
"632",242461,"Summer",2016,79.45
"633",208039,"Fall",2015,94.03
"634",218885,"Winter",2021,74.67
"635",286432,"Spring",2014,76.92
"636",247310,"Summer",2016,67.39
"637",245408,"Fall",2020,89.99
"638",264758,"Winter",2013,69.18
"639",286386,"Spring",2016,70.62
"640",242746,"Summer",2019,89.06
"641",230029,"Fall",2021,72.28
"642",238230,"Winter",2018,80.75
"643",263872,"Spring",2020,76.94
"644",265065,"Summer",2019,92.3
"645",252530,"Fall",2017,76.79
"646",273968,"Winter",2012,66.67
"647",200413,"Spring",2018,71.92
"648",203981,"Summer",2021,95.01
"649",281523,"Fall",2015,94.91
"650",232056,"Winter",2017,39.64
"651",230558,"Spring",2017,74.38
"652",218592,"Summer",2013,58.12
"653",293541,"Fall",2019,63.18
"654",235723,"Winter",2012,80.09
"655",221080,"Spring",2018,71.17
"656",263578,"Summer",2012,84.65
"657",280403,"Fall",2021,65.11
"658",228177,"Winter",2018,66.8
"659",229243,"Spring",2019,92.65
"660",256904,"Summer",2021,86.68
"661",212751,"Fall",2020,74.13
"662",216175,"Winter",2019,77.78
"663",275738,"Spring",2014,67.71
"664",273901,"Summer",2013,60.41
"665",234821,"Fall",2014,97.8
"666",232755,"Winter",2022,52.82
"667",206528,"Spring",2013,77.96
"668",278572,"Summer",2016,83.68
"669",210268,"Fall",2015,76.77
"670",215640,"Winter",2015,90.63
"671",218634,"Spring",2014,62.86
"672",209077,"Summer",2015,74.57
"673",289330,"Fall",2019,77.65
"674",292732,"Winter",2020,86.22
"675",212712,"Spring",2015,74.75
"676",286604,"Summer",2014,76.03
"677",286655,"Fall",2017,76.24
"678",286880,"Winter",2019,86.91
"679",298794,"Spring",2013,92.3
"680",299069,"Summer",2012,89.66
"681",210031,"Fall",2021,93.11
"682",281101,"Winter",2017,86.26
"683",270395,"Spring",2020,86.63
"684",254578,"Summer",2013,85.61
"685",241802,"Fall",2015,83.01
"686",243221,"Winter",2012,53.49
"687",254109,"Spring",2014,69.34
"688",255994,"Summer",2015,77.81
"689",297252,"Fall",2019,81.76
"690",202577,"Winter",2015,77.87
"691",282276,"Spring",2014,87.3
"692",236197,"Summer",2021,70.61
"693",237860,"Fall",2017,87.04
"694",234445,"Winter",2013,70.6
"695",234982,"Spring",2014,72.22
"696",243246,"Summer",2019,75.11
"697",296429,"Fall",2018,79.41
"698",299746,"Winter",2013,78.13
"699",212992,"Spring",2017,69.29
"700",293723,"Summer",2013,84.94
"701",278244,"Fall",2020,73.73
"702",243154,"Winter",2017,69.14
"703",204424,"Spring",2018,89.13
"704",258741,"Summer",2016,61.37
"705",291577,"Fall",2018,91.3
"706",218667,"Winter",2021,78.69
"707",204731,"Spring",2014,92.28
"708",216225,"Summer",2014,71.58
"709",293439,"Fall",2018,83.71
"710",241941,"Winter",2022,67.19
"711",206086,"Spring",2013,83.21
"712",234487,"Summer",2021,94.25
"713",263248,"Fall",2021,77.6
"714",210132,"Winter",2021,66.98
"715",259380,"Spring",2012,72.92
"716",267066,"Summer",2021,84.65
"717",260467,"Fall",2017,89.52
"718",219775,"Winter",2018,77.83
"719",224123,"Spring",2022,64.98
"720",298434,"Summer",2013,100.04
"721",211306,"Fall",2014,75.69
"722",237802,"Winter",2016,72
"723",237473,"Spring",2021,70.72
"724",297226,"Summer",2022,95.02
"725",265905,"Fall",2014,79.67
"726",221125,"Winter",2020,97.97
"727",243566,"Spring",2021,70.97
"728",276512,"Summer",2015,78.19
"729",228841,"Fall",2019,84.75
"730",274400,"Winter",2019,61.59
"731",282004,"Spring",2015,90.7
"732",219236,"Summer",2015,78.18
"733",292352,"Fall",2017,85.97
"734",222282,"Winter",2020,72.6
"735",203168,"Spring",2012,59.35
"736",240062,"Summer",2014,80.86
"737",210131,"Fall",2020,82.32
"738",249254,"Winter",2019,93.07
"739",258604,"Spring",2020,88.91
"740",202964,"Summer",2020,87.48
"741",226243,"Fall",2021,90.6
"742",241796,"Winter",2019,65.42
"743",267586,"Spring",2020,73.79
"744",280620,"Summer",2014,81.21
"745",277103,"Fall",2015,78.63
"746",234939,"Winter",2017,66.86
"747",203723,"Spring",2014,68.73
"748",211605,"Summer",2016,80.32
"749",242454,"Fall",2019,100.55
"750",242816,"Winter",2019,65.71
"751",263564,"Spring",2022,83.97
"752",264645,"Summer",2018,93.17
"753",264085,"Fall",2016,78.74
"754",223527,"Winter",2018,87.39
"755",267029,"Spring",2020,77.92
"756",223533,"Summer",2013,73.34
"757",239307,"Fall",2015,67.54
"758",207514,"Winter",2021,50.4
"759",268529,"Spring",2013,56.85
"760",235527,"Summer",2017,70.11
"761",203118,"Fall",2019,96.66
"762",213179,"Winter",2019,81.41
"763",227951,"Spring",2022,73.33
"764",286882,"Summer",2015,80.28
"765",217362,"Fall",2013,72.09
"766",202491,"Winter",2022,69.52
"767",248039,"Spring",2019,71.74
"768",221238,"Summer",2013,67.69
"769",217825,"Fall",2018,77.36
"770",262671,"Winter",2015,64.82
"771",263615,"Spring",2019,75.67
"772",271814,"Summer",2018,67.83
"773",231046,"Fall",2015,83.48
"774",232447,"Winter",2019,68.89
"775",268936,"Spring",2019,75.05
"776",272716,"Summer",2015,89.8
