voter_id,treatment,age_group,education,baseline_turnout_prob,treatment_effect,voted_2022
315,Control,30-49,High School,0.52,0,1
316,Phone Call,50-64,Bachelor's,0.68,0.08,1
317,Personal Visit,30-49,Graduate,0.52,0.12,1
318,Phone Call,50-64,Some College,0.68,0.08,1
319,Postcard,18-29,High School,0.35,0.05,0
320,Phone Call,50-64,Some College,0.68,0.08,1
321,Postcard,50-64,Some College,0.68,0.05,1
322,Control,50-64,Graduate,0.68,0,0
323,Personal Visit,50-64,Bachelor's,0.68,0.12,1
324,Postcard,30-49,High School,0.52,0.05,1
325,Postcard,50-64,Bachelor's,0.68,0.05,1
326,Control,30-49,High School,0.52,0,1
327,Personal Visit,65+,High School,0.74,0.12,1
328,Personal Visit,50-64,Bachelor's,0.68,0.12,1
329,Postcard,30-49,High School,0.52,0.05,0
330,Phone Call,65+,High School,0.74,0.08,1
331,Phone Call,30-49,Some College,0.52,0.08,1
332,Phone Call,18-29,High School,0.35,0.08,1
333,Postcard,50-64,Graduate,0.68,0.05,1
334,Control,50-64,Bachelor's,0.68,0,0
335,Control,50-64,Bachelor's,0.68,0,1
336,Personal Visit,30-49,Bachelor's,0.52,0.12,1
337,Postcard,65+,Bachelor's,0.74,0.05,0
338,Phone Call,50-64,Some College,0.68,0.08,1
339,Control,18-29,High School,0.35,0,0
340,Control,30-49,Some College,0.52,0,1
341,Personal Visit,18-29,Some College,0.35,0.12,0
342,Control,30-49,Bachelor's,0.52,0,0
343,Postcard,65+,Bachelor's,0.74,0.05,1
344,Postcard,30-49,Bachelor's,0.52,0.05,1
345,Personal Visit,50-64,Graduate,0.68,0.12,1
346,Control,30-49,High School,0.52,0,0
347,Control,30-49,High School,0.52,0,0
348,Phone Call,18-29,Some College,0.35,0.08,0
349,Postcard,30-49,Some College,0.52,0.05,0
350,Personal Visit,50-64,Bachelor's,0.68,0.12,0
351,Personal Visit,65+,Bachelor's,0.74,0.12,1
352,Control,30-49,High School,0.52,0,1
353,Phone Call,65+,Some College,0.74,0.08,0
354,Postcard,30-49,Bachelor's,0.52,0.05,1
355,Phone Call,18-29,Some College,0.35,0.08,0
356,Phone Call,65+,Bachelor's,0.74,0.08,1
357,Postcard,50-64,Some College,0.68,0.05,0
358,Personal Visit,50-64,Some College,0.68,0.12,1
359,Phone Call,30-49,Bachelor's,0.52,0.08,1
360,Personal Visit,30-49,Bachelor's,0.52,0.12,0
361,Postcard,65+,High School,0.74,0.05,0
362,Postcard,65+,High School,0.74,0.05,0
363,Phone Call,50-64,Some College,0.68,0.08,0
364,Control,18-29,Some College,0.35,0,1
365,Control,65+,Graduate,0.74,0,1
366,Personal Visit,18-29,Graduate,0.35,0.12,1
367,Phone Call,65+,Some College,0.74,0.08,1
368,Control,50-64,High School,0.68,0,1
369,Postcard,65+,High School,0.74,0.05,1
370,Control,50-64,High School,0.68,0,0
371,Control,50-64,Some College,0.68,0,1
372,Personal Visit,50-64,Graduate,0.68,0.12,1
373,Personal Visit,50-64,Bachelor's,0.68,0.12,1
374,Personal Visit,65+,Some College,0.74,0.12,1
375,Personal Visit,65+,Graduate,0.74,0.12,1
376,Personal Visit,50-64,Some College,0.68,0.12,1
377,Phone Call,18-29,Some College,0.35,0.08,1
378,Postcard,65+,High School,0.74,0.05,1
379,Control,50-64,Some College,0.68,0,1
380,Control,50-64,Some College,0.68,0,1
381,Postcard,30-49,High School,0.52,0.05,1
382,Control,65+,Bachelor's,0.74,0,0
383,Postcard,30-49,Bachelor's,0.52,0.05,1
384,Control,30-49,High School,0.52,0,0
385,Personal Visit,18-29,High School,0.35,0.12,0
386,Postcard,30-49,High School,0.52,0.05,1
387,Control,30-49,High School,0.52,0,1
388,Postcard,30-49,Graduate,0.52,0.05,1
389,Postcard,18-29,Graduate,0.35,0.05,0
390,Postcard,18-29,Bachelor's,0.35,0.05,0
391,Control,65+,High School,0.74,0,1
392,Personal Visit,50-64,Bachelor's,0.68,0.12,1
393,Control,65+,High School,0.74,0,1
394,Phone Call,50-64,Some College,0.68,0.08,1
395,Control,18-29,Some College,0.35,0,1
396,Personal Visit,50-64,High School,0.68,0.12,0
397,Control,30-49,Bachelor's,0.52,0,1
398,Postcard,50-64,High School,0.68,0.05,1
399,Phone Call,18-29,Graduate,0.35,0.08,1
400,Postcard,50-64,Graduate,0.68,0.05,0
401,Postcard,30-49,Bachelor's,0.52,0.05,0
402,Postcard,50-64,Some College,0.68,0.05,1
403,Postcard,30-49,Some College,0.52,0.05,0
404,Control,18-29,Some College,0.35,0,1
405,Phone Call,30-49,Some College,0.52,0.08,1
406,Control,30-49,Graduate,0.52,0,1
407,Postcard,18-29,Bachelor's,0.35,0.05,1
408,Personal Visit,65+,Graduate,0.74,0.12,1
409,Postcard,30-49,Some College,0.52,0.05,1
410,Phone Call,65+,High School,0.74,0.08,1
411,Control,65+,High School,0.74,0,1
412,Phone Call,18-29,Bachelor's,0.35,0.08,0
413,Personal Visit,30-49,High School,0.52,0.12,0
414,Phone Call,18-29,High School,0.35,0.08,1
415,Control,18-29,High School,0.35,0,1
416,Control,30-49,Some College,0.52,0,1
417,Personal Visit,50-64,Some College,0.68,0.12,1
418,Control,50-64,High School,0.68,0,0
419,Phone Call,30-49,Bachelor's,0.52,0.08,1
420,Postcard,50-64,High School,0.68,0.05,1
421,Postcard,30-49,High School,0.52,0.05,0
422,Postcard,30-49,Graduate,0.52,0.05,0
423,Control,30-49,Bachelor's,0.52,0,1
424,Postcard,50-64,Graduate,0.68,0.05,1
425,Personal Visit,30-49,Bachelor's,0.52,0.12,1
426,Postcard,50-64,Bachelor's,0.68,0.05,1
427,Control,50-64,Bachelor's,0.68,0,0
428,Personal Visit,30-49,Some College,0.52,0.12,0
429,Postcard,30-49,Some College,0.52,0.05,0
430,Postcard,18-29,Bachelor's,0.35,0.05,1
431,Postcard,50-64,Bachelor's,0.68,0.05,0
432,Phone Call,30-49,High School,0.52,0.08,1
433,Postcard,65+,Some College,0.74,0.05,1
434,Postcard,30-49,High School,0.52,0.05,1
435,Control,50-64,High School,0.68,0,1
436,Phone Call,65+,Bachelor's,0.74,0.08,1
437,Phone Call,30-49,Bachelor's,0.52,0.08,1
438,Postcard,65+,Some College,0.74,0.05,1
439,Phone Call,65+,Graduate,0.74,0.08,1
440,Phone Call,18-29,Some College,0.35,0.08,0
441,Personal Visit,30-49,High School,0.52,0.12,0
442,Control,65+,High School,0.74,0,0
443,Postcard,50-64,Graduate,0.68,0.05,0
444,Personal Visit,30-49,High School,0.52,0.12,0
445,Control,18-29,Some College,0.35,0,1
446,Phone Call,18-29,Graduate,0.35,0.08,0
447,Control,30-49,High School,0.52,0,1
448,Control,30-49,High School,0.52,0,1
449,Phone Call,18-29,High School,0.35,0.08,0
450,Phone Call,65+,Bachelor's,0.74,0.08,1
451,Phone Call,65+,Graduate,0.74,0.08,1
452,Personal Visit,18-29,Bachelor's,0.35,0.12,1
453,Control,18-29,High School,0.35,0,1
454,Personal Visit,65+,Graduate,0.74,0.12,1
455,Control,18-29,Bachelor's,0.35,0,0
456,Personal Visit,30-49,Bachelor's,0.52,0.12,1
457,Phone Call,65+,Some College,0.74,0.08,1
458,Personal Visit,18-29,Bachelor's,0.35,0.12,1
459,Phone Call,30-49,High School,0.52,0.08,0
460,Phone Call,50-64,Graduate,0.68,0.08,1
461,Postcard,30-49,Some College,0.52,0.05,0
462,Phone Call,30-49,Some College,0.52,0.08,0
463,Control,30-49,Bachelor's,0.52,0,1
464,Postcard,65+,Some College,0.74,0.05,1
465,Personal Visit,18-29,Bachelor's,0.35,0.12,1
466,Phone Call,50-64,High School,0.68,0.08,1
467,Control,18-29,Bachelor's,0.35,0,0
468,Control,50-64,Some College,0.68,0,1
469,Phone Call,30-49,Some College,0.52,0.08,1
470,Phone Call,50-64,Some College,0.68,0.08,1
471,Phone Call,30-49,High School,0.52,0.08,1
472,Postcard,65+,Some College,0.74,0.05,1
473,Control,50-64,Some College,0.68,0,1
474,Personal Visit,18-29,Some College,0.35,0.12,0
475,Postcard,18-29,Bachelor's,0.35,0.05,0
476,Postcard,30-49,Some College,0.52,0.05,0
477,Personal Visit,18-29,High School,0.35,0.12,1
478,Phone Call,50-64,Graduate,0.68,0.08,0
479,Personal Visit,65+,High School,0.74,0.12,1
480,Control,30-49,Some College,0.52,0,0
481,Personal Visit,50-64,Some College,0.68,0.12,1
482,Personal Visit,50-64,Bachelor's,0.68,0.12,1
483,Control,65+,Some College,0.74,0,1
484,Control,50-64,Graduate,0.68,0,0
485,Postcard,30-49,Graduate,0.52,0.05,1
486,Phone Call,50-64,High School,0.68,0.08,0
487,Postcard,18-29,Some College,0.35,0.05,0
488,Personal Visit,50-64,Some College,0.68,0.12,1
489,Control,50-64,Bachelor's,0.68,0,1
490,Phone Call,65+,High School,0.74,0.08,1
491,Control,30-49,Bachelor's,0.52,0,0
492,Personal Visit,30-49,Bachelor's,0.52,0.12,0
493,Control,65+,Some College,0.74,0,0
494,Control,50-64,High School,0.68,0,1
495,Postcard,30-49,High School,0.52,0.05,1
496,Phone Call,50-64,High School,0.68,0.08,1
497,Control,30-49,High School,0.52,0,1
498,Personal Visit,18-29,Bachelor's,0.35,0.12,0
499,Phone Call,50-64,Some College,0.68,0.08,0
500,Personal Visit,30-49,Bachelor's,0.52,0.12,1
501,Postcard,50-64,Some College,0.68,0.05,1
502,Control,18-29,Some College,0.35,0,0
503,Postcard,65+,High School,0.74,0.05,1
504,Control,30-49,High School,0.52,0,0
505,Personal Visit,30-49,Bachelor's,0.52,0.12,1
506,Personal Visit,18-29,Some College,0.35,0.12,0
507,Control,30-49,Some College,0.52,0,0
508,Control,50-64,Bachelor's,0.68,0,1
509,Personal Visit,30-49,Graduate,0.52,0.12,1
510,Postcard,65+,High School,0.74,0.05,1
511,Phone Call,18-29,Bachelor's,0.35,0.08,1
512,Postcard,65+,Bachelor's,0.74,0.05,1
513,Postcard,50-64,Bachelor's,0.68,0.05,1
514,Control,65+,Bachelor's,0.74,0,0
515,Control,30-49,High School,0.52,0,1
516,Control,18-29,Some College,0.35,0,1
517,Control,65+,Some College,0.74,0,1
518,Phone Call,50-64,Bachelor's,0.68,0.08,0
519,Postcard,30-49,High School,0.52,0.05,0
520,Control,50-64,Some College,0.68,0,0
521,Personal Visit,65+,Bachelor's,0.74,0.12,1
522,Control,30-49,Graduate,0.52,0,0
523,Postcard,30-49,Some College,0.52,0.05,1
524,Postcard,65+,Graduate,0.74,0.05,1
525,Personal Visit,50-64,Bachelor's,0.68,0.12,1
526,Phone Call,65+,Bachelor's,0.74,0.08,1
527,Postcard,18-29,Bachelor's,0.35,0.05,0
528,Control,65+,Graduate,0.74,0,1
529,Postcard,18-29,Some College,0.35,0.05,0
530,Control,65+,Some College,0.74,0,1
531,Control,18-29,High School,0.35,0,0
532,Postcard,65+,High School,0.74,0.05,1
533,Control,30-49,High School,0.52,0,1
534,Control,50-64,Some College,0.68,0,1
535,Control,50-64,Bachelor's,0.68,0,1
536,Postcard,30-49,High School,0.52,0.05,1
537,Control,65+,Bachelor's,0.74,0,0
538,Control,30-49,Graduate,0.52,0,0
539,Postcard,18-29,Bachelor's,0.35,0.05,0
540,Control,30-49,Bachelor's,0.52,0,0
541,Phone Call,65+,Some College,0.74,0.08,1
542,Personal Visit,18-29,Some College,0.35,0.12,1
543,Phone Call,30-49,Some College,0.52,0.08,1
544,Postcard,30-49,Some College,0.52,0.05,0
545,Phone Call,18-29,Some College,0.35,0.08,0
546,Phone Call,65+,Bachelor's,0.74,0.08,0
547,Phone Call,18-29,Bachelor's,0.35,0.08,0
548,Personal Visit,65+,Some College,0.74,0.12,0
549,Personal Visit,50-64,Graduate,0.68,0.12,1
550,Control,30-49,High School,0.52,0,0
551,Personal Visit,30-49,Some College,0.52,0.12,0
552,Postcard,18-29,High School,0.35,0.05,0
553,Postcard,30-49,Graduate,0.52,0.05,0
554,Personal Visit,50-64,Bachelor's,0.68,0.12,1
555,Phone Call,65+,Bachelor's,0.74,0.08,1
556,Phone Call,18-29,High School,0.35,0.08,1
