district_id,year,incumbent_party,incumbent_spending,challenger_spending,incumbent_vote_share,presidential_vote,median_income,incumbent_scandal,quality_challenger
CD-04-08,2020,Democrat,1064.6,1608.7,49.0,52.1,111733.94,False,False
CD-04-08,2022,Democrat,1973.8,1320.6,56.9,47.4,114882.26,False,False
CD-04-09,2012,Democrat,864.0,1387.5,50.8,39.8,68574.87,False,True
CD-04-09,2014,Democrat,1421.0,455.9,43.4,39.5,79442.45,True,False
CD-04-09,2016,Democrat,487.2,231.4,46.2,45.2,84076.42,False,True
CD-04-09,2018,Democrat,1559.1,334.1,54.1,47.4,83902.36,False,False
CD-04-09,2020,Democrat,1680.1,392.2,46.6,39.4,96252.08,False,True
CD-04-09,2022,Democrat,1757.2,851.6,50.1,36.9,97020.75,False,False
CD-05-01,2012,Republican,2299.5,875.1,65.1,45.4,55482.51,False,False
CD-05-01,2014,Republican,2316.8,1162.9,62.6,45.3,60573.37,False,False
CD-05-01,2016,Republican,676.6,635.5,59.9,45.7,53419.19,False,False
CD-05-01,2018,Republican,1475.1,549.3,62.3,43.5,61340.5,False,False
CD-05-01,2020,Democrat,1120.5,1612.6,45.6,47.5,59639.01,False,True
CD-05-01,2022,Republican,1606.6,1259.5,56.3,45.9,60382.16,False,False
CD-05-02,2012,Republican,550.3,1509.1,50.6,53.5,59831.54,False,False
CD-05-02,2014,Republican,1723.8,534.0,56.7,56.4,63316.48,False,False
CD-05-02,2016,Republican,1153.8,948.3,47.6,48.7,67209.08,False,False
CD-05-02,2018,Republican,809.3,1021.6,48.0,52.8,68817.03,False,False
CD-05-02,2020,Republican,2385.2,428.9,53.1,54.4,74733.72,False,False
CD-05-02,2022,Republican,1239.8,730.5,54.3,50.2,78401.06,False,True
CD-05-03,2012,Democrat,738.4,730.1,68.6,67.2,77081.27,False,False
CD-05-03,2014,Democrat,1442.0,1562.8,62.8,65.4,75133.79,False,False
CD-05-03,2016,Democrat,1531.9,1198.1,55.3,64.6,77949.68,True,True
CD-05-03,2018,Democrat,1790.3,207.8,64.9,60.3,84847.44,False,True
CD-05-03,2020,Democrat,2007.9,874.5,72.2,63.4,86149.87,False,True
CD-05-03,2022,Democrat,442.8,804.5,63.0,70.8,87035.12,False,False
CD-05-04,2012,Democrat,2050.7,1524.8,57.7,52.7,54686.01,False,True
CD-05-04,2014,Democrat,2426.0,910.1,58.2,54.5,57457.2,False,True
CD-05-04,2016,Democrat,2128.8,469.6,63.8,52.9,57098.05,False,False
CD-05-04,2018,Democrat,1532.5,1436.9,54.0,60.4,59883.94,False,True
CD-05-04,2020,Democrat,1252.1,434.7,60.2,56.1,60724.87,False,False
CD-05-04,2022,Democrat,1431.0,1563.3,62.4,56.6,69071.75,False,False
CD-05-05,2012,Republican,463.5,306.9,49.0,60.9,77228.32,False,False
CD-05-05,2014,Democrat,793.9,1739.2,56.5,64.1,77872.5,False,True
CD-05-05,2016,Democrat,1679.0,1400.3,69.2,59.6,80722.51,False,False
CD-05-05,2018,Democrat,945.1,249.2,68.2,59.4,83839.33,False,False
CD-05-05,2020,Democrat,682.9,383.1,68.4,55.2,85669.08,False,False
CD-05-05,2022,Democrat,1780.5,215.9,62.9,62.5,89123.62,False,False
CD-05-06,2012,Democrat,649.6,216.7,45.5,43.0,48583.06,False,True
CD-05-06,2014,Democrat,2120.7,1159.1,49.4,50.4,52344.95,False,False
CD-05-06,2016,Democrat,1223.4,452.4,55.7,45.9,48465.35,False,False
CD-05-06,2018,Democrat,1359.6,870.5,57.4,45.7,57854.74,False,False
CD-05-06,2020,Democrat,1812.8,1460.0,54.8,42.5,53893.56,False,False
CD-05-06,2022,Democrat,642.2,1432.5,43.5,44.6,56830.83,False,True
CD-05-07,2012,Republican,1620.3,1521.2,48.7,58.1,72016.64,False,False
CD-05-07,2014,Republican,1078.2,1579.6,49.2,60.7,81762.64,False,False
CD-05-07,2016,Republican,2341.2,1562.0,42.2,65.9,85207.84,False,False
CD-05-07,2018,Republican,1926.5,937.3,50.1,58.7,82260.27,False,False
CD-05-07,2020,Republican,2239.0,299.3,52.1,57.9,83018.52,False,True
CD-05-07,2022,Republican,2353.2,803.3,50.6,59.6,88855.18,False,True
CD-05-08,2012,Democrat,629.4,1168.6,53.8,50.4,97793.3,False,False
CD-05-08,2014,Democrat,1654.2,346.0,54.7,46.3,99893.79,False,False
CD-05-08,2016,Democrat,521.1,1044.7,54.6,47.8,97114.65,False,False
CD-05-08,2018,Democrat,1675.2,227.6,48.4,47.4,101330.65,False,False
CD-05-08,2020,Democrat,2083.1,785.3,47.5,48.9,111187.3,False,True
CD-05-08,2022,Democrat,1317.7,1066.3,48.6,51.2,117483.68,False,False
CD-05-09,2012,Democrat,1428.3,1244.1,65.4,64.0,45873.45,False,True
CD-05-09,2014,Democrat,1569.0,207.2,66.9,66.3,45945.19,False,True
CD-05-09,2016,Democrat,539.6,1614.2,59.7,65.9,40851.41,False,True
CD-05-09,2018,Democrat,1646.7,300.5,70.7,57.3,49210.03,False,False
CD-05-09,2020,Democrat,1288.1,1482.6,65.2,67.3,46330.52,False,False
CD-05-09,2022,Democrat,1595.3,1238.9,66.9,61.3,50245.05,False,False
CD-06-01,2012,Republican,2449.1,697.0,70.1,35.7,94219.92,False,False
CD-06-01,2014,Republican,2498.4,1032.2,65.2,39.8,93344.26,False,False
CD-06-01,2016,Republican,932.1,1018.7,62.5,39.3,99241.09,True,False
CD-06-01,2018,Republican,1718.4,1595.6,68.6,40.4,100128.79,False,False
CD-06-01,2020,Republican,548.1,1008.9,66.2,36.7,102291.9,False,True
CD-06-01,2022,Republican,1844.1,431.1,58.2,37.7,109695.04,True,True
CD-06-02,2012,Republican,895.0,650.4,53.9,55.2,50880.29,False,False
CD-06-02,2014,Democrat,820.5,1211.1,57.8,57.9,54526.94,False,True
CD-06-02,2016,Republican,915.6,760.3,45.0,54.0,56022.48,False,True
CD-06-02,2018,Republican,1841.1,1113.4,52.1,56.7,56833.56,False,False
CD-06-02,2020,Republican,1698.1,463.7,48.8,60.4,55363.29,False,False
CD-06-02,2022,Democrat,1286.1,1356.1,53.1,54.7,64974.75,True,False
CD-06-03,2012,Democrat,2426.7,294.5,63.7,58.9,54922.35,False,False
CD-06-03,2014,Democrat,1946.2,675.0,66.4,56.1,46463.08,False,False
CD-06-03,2016,Republican,1983.4,1019.9,50.6,51.9,51167.24,False,False
CD-06-03,2018,Republican,1441.5,692.5,48.9,59.1,55683.0,False,False
CD-06-03,2020,Republican,687.3,239.9,47.3,58.2,56376.8,False,True
CD-06-03,2022,Republican,689.6,835.3,47.9,56.2,54525.58,False,False
CD-06-04,2012,Republican,831.6,1315.5,43.2,60.9,84681.86,False,False
CD-06-04,2014,Republican,2086.8,446.7,48.5,57.0,85945.12,False,False
CD-06-04,2016,Republican,1722.2,1473.1,56.3,56.6,91302.59,False,False
CD-06-04,2018,Republican,1902.4,382.0,47.2,52.0,92640.6,False,False
CD-06-04,2020,Republican,1873.4,984.1,42.1,58.2,96074.24,False,True
CD-06-04,2022,Republican,1086.0,1607.8,50.4,58.3,100107.85,False,False
CD-06-05,2012,Republican,1903.3,260.2,62.1,38.6,92761.6,False,False
CD-06-05,2014,Republican,533.3,998.1,57.6,47.0,100440.76,False,True
CD-06-05,2016,Republican,1111.3,665.5,66.2,40.9,105725.75,False,False
CD-06-05,2018,Republican,607.5,1525.9,59.5,35.3,111258.89,False,False
CD-06-05,2020,Republican,758.6,389.0,57.4,43.9,113046.07,False,True
CD-06-05,2022,Republican,1759.9,726.1,60.1,46.1,116847.47,False,True
CD-06-06,2012,Democrat,2045.1,399.9,60.3,52.3,94751.9,False,False
CD-06-06,2014,Democrat,693.5,1709.8,58.8,53.1,96086.31,False,False
CD-06-06,2016,Republican,1027.0,448.3,50.7,55.9,97863.21,False,True
CD-06-06,2018,Republican,2195.8,220.2,50.2,56.9,107907.2,False,False
CD-06-06,2020,Republican,837.9,433.4,48.4,53.5,106033.45,False,True
CD-06-06,2022,Republican,1505.9,547.9,53.1,60.1,105317.61,False,False
CD-06-07,2012,Democrat,2250.3,1498.9,36.6,29.0,78793.66,False,True
CD-06-07,2014,Democrat,1034.7,489.9,45.6,35.1,73264.52,False,False
CD-06-07,2016,Democrat,2149.3,981.8,44.0,37.0,83002.43,False,False
CD-06-07,2018,Democrat,911.5,412.8,50.8,36.6,88790.6,False,False
CD-06-07,2020,Democrat,969.9,712.7,47.1,35.0,93162.31,False,True
CD-06-07,2022,Democrat,1180.7,1252.2,39.4,39.9,92063.92,False,True
CD-06-08,2012,Republican,1611.9,1186.3,60.9,43.8,82862.4,False,False
CD-06-08,2014,Republican,655.2,766.9,59.0,43.9,86663.47,False,False
CD-06-08,2016,Republican,790.3,445.4,57.6,49.2,90790.3,False,True
CD-06-08,2018,Republican,544.4,886.1,64.6,42.9,98049.57,False,False
CD-06-08,2020,Republican,1515.1,1143.5,61.7,46.2,102224.31,False,False
CD-06-08,2022,Republican,1507.5,620.3,62.4,51.9,104597.95,False,False
CD-06-09,2012,Democrat,1695.4,1385.1,70.2,58.3,62873.36,False,False
CD-06-09,2014,Democrat,2464.3,752.0,63.9,67.2,57508.46,False,True
CD-06-09,2016,Democrat,1444.0,654.4,67.5,65.0,67960.25,False,False
CD-06-09,2018,Democrat,1765.5,672.8,63.6,58.5,69864.95,False,False
CD-06-09,2020,Democrat,863.0,1238.5,59.7,61.8,67186.91,False,True
CD-06-09,2022,Democrat,1948.1,511.2,63.2,62.5,74161.64,False,False
CD-07-01,2012,Republican,852.6,1127.8,55.6,48.2,46098.29,False,False
CD-07-01,2014,Republican,1879.0,598.4,58.7,57.0,51031.57,False,False
CD-07-01,2016,Republican,1890.0,693.1,51.3,45.2,51965.14,True,False
CD-07-01,2018,Republican,1476.4,771.9,57.5,50.1,58494.81,False,False
CD-07-01,2020,Republican,1791.4,208.6,56.4,47.4,53942.25,False,True
CD-07-01,2022,Republican,1719.8,1105.0,57.8,49.3,64659.98,False,False
CD-07-02,2012,Republican,949.7,1358.5,40.0,58.0,50451.61,False,True
CD-07-02,2014,Republican,584.9,402.2,51.4,54.4,61947.54,False,False
CD-07-02,2016,Republican,498.6,1791.4,48.8,59.5,59915.14,False,False
CD-07-02,2018,Republican,2189.3,262.0,54.0,57.8,60254.49,False,False
CD-07-02,2020,Republican,1979.4,619.8,47.3,53.7,62848.81,False,True
CD-07-02,2022,Republican,1795.6,545.1,48.5,57.8,67439.67,False,False
CD-07-03,2012,Republican,2301.7,736.1,68.9,35.7,75199.1,False,False
CD-07-03,2014,Democrat,1984.7,1153.4,38.5,29.3,73043.59,True,False
CD-07-03,2016,Democrat,2259.6,1098.0,46.4,34.5,72922.73,False,True
CD-07-03,2018,Republican,987.9,1477.8,65.7,38.6,78929.12,False,False
CD-07-03,2020,Democrat,2455.5,1664.9,48.9,38.9,83465.38,False,False
